song,album,prev,lyric,next
Long Black Veil,Kicking Against The Pricks,I said nobody knows but me,Yeah nobody knows but me,
Hey Joe,Kicking Against The Pricks,,Hey Joe,Where you going with that gun in your hand?
Hey Joe,Kicking Against The Pricks,Hey Joe,Where you going with that gun in your hand?,Hey Joe
Hey Joe,Kicking Against The Pricks,Where you going with that gun in your hand?,Hey Joe,Where you going with that gun in your hand?
Hey Joe,Kicking Against The Pricks,Hey Joe,Where you going with that gun in your hand?,
Hey Joe,Kicking Against The Pricks,Where you going with that gun in your hand?,,I’m gonna shoot my baby
Hey Joe,Kicking Against The Pricks,,I’m gonna shoot my baby,I caught her messin round
Hey Joe,Kicking Against The Pricks,I’m gonna shoot my baby,I caught her messin round,With another man
Hey Joe,Kicking Against The Pricks,I caught her messin round,With another man,
Hey Joe,Kicking Against The Pricks,With another man,,Hey Joe
Hey Joe,Kicking Against The Pricks,,Hey Joe,I heard you shot your baby down
Hey Joe,Kicking Against The Pricks,Hey Joe,I heard you shot your baby down,Hey Joe
Hey Joe,Kicking Against The Pricks,I heard you shot your baby down,Hey Joe,I heard you shot your baby down
Hey Joe,Kicking Against The Pricks,Hey Joe,I heard you shot your baby down,
Hey Joe,Kicking Against The Pricks,I heard you shot your baby down,,Yes I did I shot her
Hey Joe,Kicking Against The Pricks,,Yes I did I shot her,I went and put her in the ground
Hey Joe,Kicking Against The Pricks,Yes I did I shot her,I went and put her in the ground,
Hey Joe,Kicking Against The Pricks,I went and put her in the ground,,Hey Joe
Hey Joe,Kicking Against The Pricks,,Hey Joe,Where you gonna run to now?
Hey Joe,Kicking Against The Pricks,Hey Joe,Where you gonna run to now?,Hey Joe
Hey Joe,Kicking Against The Pricks,Where you gonna run to now?,Hey Joe,Where you gonna run to now?
Hey Joe,Kicking Against The Pricks,Hey Joe,Where you gonna run to now?,
Hey Joe,Kicking Against The Pricks,Where you gonna run to now?,,I’m heading way down South
Hey Joe,Kicking Against The Pricks,,I’m heading way down South,Where I can be free
Hey Joe,Kicking Against The Pricks,I’m heading way down South,Where I can be free,I’m heading Mexico way
Hey Joe,Kicking Against The Pricks,Where I can be free,I’m heading Mexico way,No hangman’s about to put a leash around me
Hey Joe,Kicking Against The Pricks,I’m heading Mexico way,No hangman’s about to put a leash around me,
The Singer,Kicking Against The Pricks,,As I walk these narrow streets,Where a million passin feet have trod before me
The Singer,Kicking Against The Pricks,As I walk these narrow streets,Where a million passin feet have trod before me,With my guitar in my hand
The Singer,Kicking Against The Pricks,Where a million passin feet have trod before me,With my guitar in my hand,Suddenly I realize nobody knows me
The Singer,Kicking Against The Pricks,With my guitar in my hand,Suddenly I realize nobody knows me,Where yesterday the multitude
The Singer,Kicking Against The Pricks,Suddenly I realize nobody knows me,Where yesterday the multitude,Screamed and cried my name out for a song
The Singer,Kicking Against The Pricks,Where yesterday the multitude,Screamed and cried my name out for a song,Today the streets are empty
The Singer,Kicking Against The Pricks,Screamed and cried my name out for a song,Today the streets are empty,And the crowds have all gone home
The Singer,Kicking Against The Pricks,Today the streets are empty,And the crowds have all gone home,I pass a million houses
The Singer,Kicking Against The Pricks,And the crowds have all gone home,I pass a million houses,But there is no place that I belong
The Singer,Kicking Against The Pricks,I pass a million houses,But there is no place that I belong,All I knew to give you
The Singer,Kicking Against The Pricks,But there is no place that I belong,All I knew to give you,Was song after song after song
The Singer,Kicking Against The Pricks,All I knew to give you,Was song after song after song,All the truths I tried to tell you
The Singer,Kicking Against The Pricks,Was song after song after song,All the truths I tried to tell you,Were as distant to you as the moon
The Singer,Kicking Against The Pricks,All the truths I tried to tell you,Were as distant to you as the moon,Born two-hundred years too late
The Singer,Kicking Against The Pricks,Were as distant to you as the moon,Born two-hundred years too late,And two-hundred years too soon
The Singer,Kicking Against The Pricks,Born two-hundred years too late,And two-hundred years too soon,I’m a child of this age
The Singer,Kicking Against The Pricks,And two-hundred years too soon,I’m a child of this age,Locked into the pages of your book
The Singer,Kicking Against The Pricks,I’m a child of this age,Locked into the pages of your book,And when I am but dust and clay
The Singer,Kicking Against The Pricks,Locked into the pages of your book,And when I am but dust and clay,And all the children stop to take a look
