song,prev,lyric,next,album,year,artist
Heathen Child,Saying hey little Moo Moo,Saying hey little Moo Moo,Sitting in the bathtub,Grinderman 2,2010,Grinderman
Heathen Child,Saying hey little Moo Moo,Sitting in the bathtub,,Grinderman 2,2010,Grinderman
Heathen Child,Sitting in the bathtub,,My heathen child,Grinderman 2,2010,Grinderman
Heathen Child,,My heathen child,She’s a heathen child,Grinderman 2,2010,Grinderman
Heathen Child,My heathen child,She’s a heathen child,She’s a heathen child,Grinderman 2,2010,Grinderman
Heathen Child,She’s a heathen child,She’s a heathen child,She’s a real wild child,Grinderman 2,2010,Grinderman
Heathen Child,She’s a heathen child,She’s a real wild child,She gotta little powder,Grinderman 2,2010,Grinderman
Heathen Child,She’s a real wild child,She gotta little powder,She gotta little gun,Grinderman 2,2010,Grinderman
Heathen Child,She gotta little powder,She gotta little gun,"She gotta little poison, gotta little gun",Grinderman 2,2010,Grinderman
Heathen Child,She gotta little gun,"She gotta little poison, gotta little gun",Sitting in the bathtub sucking her thumb,Grinderman 2,2010,Grinderman
Heathen Child,"She gotta little poison, gotta little gun",Sitting in the bathtub sucking her thumb,Says I don’t care about Buddha,Grinderman 2,2010,Grinderman
Heathen Child,Sitting in the bathtub sucking her thumb,Says I don’t care about Buddha,I don’t care about Krishna,Grinderman 2,2010,Grinderman
Heathen Child,Says I don’t care about Buddha,I don’t care about Krishna,I don’t care about Allah,Grinderman 2,2010,Grinderman
Heathen Child,I don’t care about Krishna,I don’t care about Allah,I don’t care about any of them,Grinderman 2,2010,Grinderman
Heathen Child,I don’t care about Allah,I don’t care about any of them,Just sitting in the bathtub sucking her thumb,Grinderman 2,2010,Grinderman
Heathen Child,I don’t care about any of them,Just sitting in the bathtub sucking her thumb,,Grinderman 2,2010,Grinderman
Heathen Child,Just sitting in the bathtub sucking her thumb,,Cause she’s a heathen child,Grinderman 2,2010,Grinderman
Heathen Child,,Cause she’s a heathen child,She’s a heathen child,Grinderman 2,2010,Grinderman
Heathen Child,Cause she’s a heathen child,She’s a heathen child,She’s a heathen child,Grinderman 2,2010,Grinderman
Heathen Child,She’s a heathen child,She’s a heathen child,Yeah she’s a real wild child,Grinderman 2,2010,Grinderman
Heathen Child,She’s a heathen child,Yeah she’s a real wild child,,Grinderman 2,2010,Grinderman
Heathen Child,Yeah she’s a real wild child,,Poor little Moo Moo,Grinderman 2,2010,Grinderman
Heathen Child,,Poor little Moo Moo,Papped and Monroed,Grinderman 2,2010,Grinderman
Heathen Child,Poor little Moo Moo,Papped and Monroed,"She’s gotta little powder, gotta lil gun",Grinderman 2,2010,Grinderman
Heathen Child,Papped and Monroed,"She’s gotta little powder, gotta lil gun",Sitting in the bathtub having some fun,Grinderman 2,2010,Grinderman
Heathen Child,"She’s gotta little powder, gotta lil gun",Sitting in the bathtub having some fun,She was raised by beasts,Grinderman 2,2010,Grinderman
Heathen Child,Sitting in the bathtub having some fun,She was raised by beasts,Photographed by vultures,Grinderman 2,2010,Grinderman
Heathen Child,She was raised by beasts,Photographed by vultures,Here come the Wolfman!,Grinderman 2,2010,Grinderman
Heathen Child,Photographed by vultures,Here come the Wolfman!,The Abominable Snowman!,Grinderman 2,2010,Grinderman
Heathen Child,Here come the Wolfman!,The Abominable Snowman!,Gotta little poison,Grinderman 2,2010,Grinderman
Heathen Child,The Abominable Snowman!,Gotta little poison,Gotta little gun,Grinderman 2,2010,Grinderman
Heathen Child,Gotta little poison,Gotta little gun,Sitting in the bathtub,Grinderman 2,2010,Grinderman
Heathen Child,Gotta little gun,Sitting in the bathtub,Waiting for the Wolfman to come,Grinderman 2,2010,Grinderman
Heathen Child,Sitting in the bathtub,Waiting for the Wolfman to come,,Grinderman 2,2010,Grinderman
Heathen Child,Waiting for the Wolfman to come,,You think your great big husband will protect you,Grinderman 2,2010,Grinderman
Heathen Child,,You think your great big husband will protect you,You are wrong,Grinderman 2,2010,Grinderman
Heathen Child,You think your great big husband will protect you,You are wrong,You think your little wife will protect you,Grinderman 2,2010,Grinderman
Heathen Child,You are wrong,You think your little wife will protect you,You are wrong,Grinderman 2,2010,Grinderman
Heathen Child,You think your little wife will protect you,You are wrong,You think your children will protect you,Grinderman 2,2010,Grinderman
Heathen Child,You are wrong,You think your children will protect you,You are wrong,Grinderman 2,2010,Grinderman
