song,album,prev,lyric,next,artist,year,,
Truck Love,Burning the Ice,Truck love! Right now!,Bewitched by pure power. That’s truck love!,In the gully of your choice. Truck love!,Die Haut,1983,,
Truck Love,Burning the Ice,Bewitched by pure power. That’s truck love!,In the gully of your choice. Truck love!,Jam-up on a leaping tree. Head on! Head first!,Die Haut,1983,,
Truck Love,Burning the Ice,In the gully of your choice. Truck love!,Jam-up on a leaping tree. Head on! Head first!,And God came down and talked to me,Die Haut,1983,,
Truck Love,Burning the Ice,Jam-up on a leaping tree. Head on! Head first!,And God came down and talked to me,And I damn nearly wept,Die Haut,1983,,
Truck Love,Burning the Ice,And God came down and talked to me,And I damn nearly wept,Tears rolling down the dash! Tears rolling down the dash!,Die Haut,1983,,
Truck Love,Burning the Ice,And I damn nearly wept,Tears rolling down the dash! Tears rolling down the dash!,We can’t stop the monster rolling,Die Haut,1983,,
Truck Love,Burning the Ice,Tears rolling down the dash! Tears rolling down the dash!,We can’t stop the monster rolling,We can’t stop the monster rolling,Die Haut,1983,,
Truck Love,Burning the Ice,We can’t stop the monster rolling,We can’t stop the monster rolling,We can’t stop the monster rolling,Die Haut,1983,,
Truck Love,Burning the Ice,We can’t stop the monster rolling,We can’t stop the monster rolling,We can’t stop the monster rolling,Die Haut,1983,,
Truck Love,Burning the Ice,We can’t stop the monster rolling,We can’t stop the monster rolling,Rise to power! Rise to power!,Die Haut,1983,,
Truck Love,Burning the Ice,We can’t stop the monster rolling,Rise to power! Rise to power!,Rise to power! Rise to power!,Die Haut,1983,,
Truck Love,Burning the Ice,Rise to power! Rise to power!,Rise to power! Rise to power!,Your eyes stare bright like gold,Die Haut,1983,,
Truck Love,Burning the Ice,Rise to power! Rise to power!,Your eyes stare bright like gold,Eye-spot interference all across the fucking road,Die Haut,1983,,
Truck Love,Burning the Ice,Your eyes stare bright like gold,Eye-spot interference all across the fucking road,Burn my eyes! Burn my eyes! Baby!,Die Haut,1983,,
Truck Love,Burning the Ice,Eye-spot interference all across the fucking road,Burn my eyes! Burn my eyes! Baby!,My hands keep shaking when I’m touching ya,Die Haut,1983,,
Truck Love,Burning the Ice,Burn my eyes! Burn my eyes! Baby!,My hands keep shaking when I’m touching ya,My hands keep shaking when I’m touching ya,Die Haut,1983,,
Truck Love,Burning the Ice,My hands keep shaking when I’m touching ya,My hands keep shaking when I’m touching ya,They keep shaking when I ain’t,Die Haut,1983,,
Truck Love,Burning the Ice,My hands keep shaking when I’m touching ya,They keep shaking when I ain’t,They keep shaking when I ain’t,Die Haut,1983,,
Truck Love,Burning the Ice,They keep shaking when I ain’t,They keep shaking when I ain’t,,Die Haut,1983,,
Truck Love,Burning the Ice,They keep shaking when I ain’t,,Truck love! Truck love!,Die Haut,1983,,
Truck Love,Burning the Ice,,Truck love! Truck love!,Pit-stop lovers!,Die Haut,1983,,
Truck Love,Burning the Ice,Truck love! Truck love!,Pit-stop lovers!,Right now and the now is right!,Die Haut,1983,,
Truck Love,Burning the Ice,Pit-stop lovers!,Right now and the now is right!,This highway is done bent on killing us,Die Haut,1983,,
Truck Love,Burning the Ice,Right now and the now is right!,This highway is done bent on killing us,Testing every nerve that we possess between us,Die Haut,1983,,
Truck Love,Burning the Ice,This highway is done bent on killing us,Testing every nerve that we possess between us,The face of Christ is leaping from the storm,Die Haut,1983,,
Truck Love,Burning the Ice,Testing every nerve that we possess between us,The face of Christ is leaping from the storm,The face of Christ is leaping from the storm,Die Haut,1983,,
Truck Love,Burning the Ice,The face of Christ is leaping from the storm,The face of Christ is leaping from the storm,You tend to get religious on these runs,Die Haut,1983,,
Truck Love,Burning the Ice,The face of Christ is leaping from the storm,You tend to get religious on these runs,Rise to power! Rise to power!,Die Haut,1983,,
Truck Love,Burning the Ice,You tend to get religious on these runs,Rise to power! Rise to power!,Rise to power! Rise to power!,Die Haut,1983,,
Truck Love,Burning the Ice,Rise to power! Rise to power!,Rise to power! Rise to power!,Divine power has gone crawled into this tank,Die Haut,1983,,
Truck Love,Burning the Ice,Rise to power! Rise to power!,Divine power has gone crawled into this tank,Every metal muscle flexed and pumping at the crank,Die Haut,1983,,
Truck Love,Burning the Ice,Divine power has gone crawled into this tank,Every metal muscle flexed and pumping at the crank,Pumping at my axis. Rendering me sexless,Die Haut,1983,,
Truck Love,Burning the Ice,Every metal muscle flexed and pumping at the crank,Pumping at my axis. Rendering me sexless,Mega-tons of muscle kicking dust across Texas,Die Haut,1983,,
Truck Love,Burning the Ice,Pumping at my axis. Rendering me sexless,Mega-tons of muscle kicking dust across Texas,Truck love! Out on the city limits,Die Haut,1983,,
Truck Love,Burning the Ice,Mega-tons of muscle kicking dust across Texas,Truck love! Out on the city limits,Drive straight into the eye of the next town that we hit,Die Haut,1983,,
Truck Love,Burning the Ice,Truck love! Out on the city limits,Drive straight into the eye of the next town that we hit,Gun it once for the hillbillies,Die Haut,1983,,
Truck Love,Burning the Ice,Drive straight into the eye of the next town that we hit,Gun it once for the hillbillies,Just to make them shit,Die Haut,1983,,
Truck Love,Burning the Ice,Gun it once for the hillbillies,Just to make them shit,,Die Haut,1983,,
Truck Love,Burning the Ice,Just to make them shit,,Fuck love! This truck love!,Die Haut,1983,,
Truck Love,Burning the Ice,,Fuck love! This truck love!,Fuck love! This truck love!,Die Haut,1983,,
Truck Love,Burning the Ice,Fuck love! This truck love!,Fuck love! This truck love!,The dolls on the grille are caked in bloody bug guts,Die Haut,1983,,
Truck Love,Burning the Ice,Fuck love! This truck love!,The dolls on the grille are caked in bloody bug guts,The dolls on the grille are caked in bloody bug guts,Die Haut,1983,,
Truck Love,Burning the Ice,The dolls on the grille are caked in bloody bug guts,The dolls on the grille are caked in bloody bug guts,Truck love! Truck love!,Die Haut,1983,,
Truck Love,Burning the Ice,The dolls on the grille are caked in bloody bug guts,Truck love! Truck love!,Rise to power! Rise to power!,Die Haut,1983,,
Truck Love,Burning the Ice,Truck love! Truck love!,Rise to power! Rise to power!,The dolls on the grille are caked in bloody bug guts,Die Haut,1983,,
Truck Love,Burning the Ice,Rise to power! Rise to power!,The dolls on the grille are caked in bloody bug guts,The dolls on the grille are caked in bloody bug guts,Die Haut,1983,,
Truck Love,Burning the Ice,The dolls on the grille are caked in bloody bug guts,The dolls on the grille are caked in bloody bug guts,Truck love! Truck love!,Die Haut,1983,,
Truck Love,Burning the Ice,The dolls on the grille are caked in bloody bug guts,Truck love! Truck love!,There are things burning in the desert,Die Haut,1983,,
Truck Love,Burning the Ice,Truck love! Truck love!,There are things burning in the desert,Rise to power! Rise to power!,Die Haut,1983,,
Truck Love,Burning the Ice,There are things burning in the desert,Rise to power! Rise to power!,There are things burning in the desert,Die Haut,1983,,
Truck Love,Burning the Ice,Rise to power! Rise to power!,There are things burning in the desert,Rise to power! Rise to power!,Die Haut,1983,,
Truck Love,Burning the Ice,There are things burning in the desert,Rise to power! Rise to power!,There are things burning in the desert,Die Haut,1983,,
Truck Love,Burning the Ice,Rise to power! Rise to power!,There are things burning in the desert,,Die Haut,1983,,
Stow-A-Way,Burning the Ice,,Hey hey I am the stow-a-way,Hey hey I am the stow-a-way,Die Haut,1983,,
Stow-A-Way,Burning the Ice,Hey hey I am the stow-a-way,Hey hey I am the stow-a-way,,Die Haut,1983,,
Stow-A-Way,Burning the Ice,Hey hey I am the stow-a-way,,My girl turned as blue as an iceberg do,Die Haut,1983,,
